upstream_path	upstream_sha256	line	case_id	parameter	baseline_disposition	case_evidence	allocation	owner_or_proposed_task	evidence_candidate
packages/coding-agent/test/suite/regressions/1717-2113-agent-session-event-settlement.test.ts	sha256:82d602aa0ecb76a5516f8f4e729ca5c65b673215b3d178b77e95944aaa7f37f4	29	regressions #1717/#2113: agent session event settlement › keeps persisted assistant/toolResult message order when extension message_end handlers yield		pending	unverified-case	proposal	next-regression-event-order	-
packages/coding-agent/test/suite/regressions/1717-2113-agent-session-event-settlement.test.ts	sha256:82d602aa0ecb76a5516f8f4e729ca5c65b673215b3d178b77e95944aaa7f37f4	68	regressions #1717/#2113: agent session event settlement › runs tool_call handlers after the assistant tool-use message is settled in the session		pending	unverified-case	proposal	next-regression-event-order	-
packages/coding-agent/test/suite/regressions/2023-queued-slash-command-followup.test.ts	sha256:6a2d8d0992ed8065b4162d64e8c70019b02def0c20e51c3a1ea3544c42e17fc4	17	issue #2023 queued slash-command follow-up › treats extension-origin queued slash-command follow-ups as raw user text instead of dispatching the command		pending	unverified-case	proposal	next-regression-queued-command	-
packages/coding-agent/test/suite/regressions/2753-reload-stale-resource-settings.test.ts	sha256:92f54641e61424c2e97b7155a55b9e895d4b9c6d134bd61efaec9f8ac1a85db3	25	issue #2753 reload stale resource settings › applies updated top-level prompt settings on reload after startup		ported	existing-ported-rerun	preserved-ported	integrator	cmd/pig/reload_resources_test.go#TestReloadResourceSnapshotProvider_RecomputesSettingsBackedPaths
packages/coding-agent/test/suite/regressions/2781-skill-collision-precedence.test.ts	sha256:df64c1c98cbdf0e62ace26ec78bece41116105aef866463f2d85f3e29cc02b20	61	issue #2781 skill collision precedence: user skills should override package skills › user auto-discovered skill should override package skill with same name		partial	unverified-case	proposal	next-regression-resources	cmd/pig/configured_resources_test.go#TestSkillInputOrderPreservesPiCollisionPrecedence; internal/codingagent/interactive_resource_test.go#TestResourceCollisionDiagnostics_SkillIncludesSourceInfo
packages/coding-agent/test/suite/regressions/2781-skill-collision-precedence.test.ts	sha256:df64c1c98cbdf0e62ace26ec78bece41116105aef866463f2d85f3e29cc02b20	76	issue #2781 skill collision precedence: user skills should override package skills › project auto-discovered skill should override package skill with same name		partial	unverified-case	proposal	next-regression-resources	cmd/pig/configured_resources_test.go#TestSkillInputOrderPreservesPiCollisionPrecedence; internal/codingagent/interactive_resource_test.go#TestResourceCollisionDiagnostics_SkillIncludesSourceInfo
packages/coding-agent/test/suite/regressions/2781-skill-collision-precedence.test.ts	sha256:df64c1c98cbdf0e62ace26ec78bece41116105aef866463f2d85f3e29cc02b20	91	issue #2781 skill collision precedence: user skills should override package skills › project skill should override user skill which should override package skill		partial	unverified-case	proposal	next-regression-resources	cmd/pig/configured_resources_test.go#TestSkillInputOrderPreservesPiCollisionPrecedence; internal/codingagent/interactive_resource_test.go#TestResourceCollisionDiagnostics_SkillIncludesSourceInfo
packages/coding-agent/test/suite/regressions/2781-skill-collision-precedence.test.ts	sha256:df64c1c98cbdf0e62ace26ec78bece41116105aef866463f2d85f3e29cc02b20	107	issue #2781 skill collision precedence: user skills should override package skills › collision diagnostics should report package skill as loser when user skill wins		partial	unverified-case	proposal	next-regression-resources	cmd/pig/configured_resources_test.go#TestSkillInputOrderPreservesPiCollisionPrecedence; internal/codingagent/interactive_resource_test.go#TestResourceCollisionDiagnostics_SkillIncludesSourceInfo
packages/coding-agent/test/suite/regressions/2791-fswatch-error-crash.test.ts	sha256:aafd7dddc5f65292ee02037ca3a8beb80e8300d38ed17e1ee259598b0df13b98	41	issue #2791 fs.watch error event crashes process › process should survive an error event on the theme FSWatcher		pending	unverified-case	proposal	next-regression-theme-failures	-
packages/coding-agent/test/suite/regressions/2835-tools-allowlist-filters-extension-tools.test.ts	sha256:399e5369a79209f30f15e530f940a61230b876bed587b8287eb58520b40b138b	68	regression #2835: tool allowlists filter extension tools › allows only explicitly listed built-in and extension tools		partial	unverified-case	existing-task-reference	next-virtual-modules	coding/session_test.go#TestNewSessionAllowedToolsFiltersDefaultsAndExtras; coding/session_test.go#TestNewSessionAllowedToolsEmptyBlocksAll
